,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
5,6,2012-01-02,32-057,DAL,W (+13),OKC,0,20:29,2,4,.500,0,1,.000,4,5,.800,2,3,5,2,0,0,1,4,8,6.7,+6
6,7,2012-01-04,32-059,DAL,W (+9),PHO,0,22:53,6,12,.500,1,4,.250,2,4,.500,0,5,5,0,2,0,1,2,15,9.9,+10
7,8,2012-01-05,32-060,DAL,L (-22),SAS,0,26:06,3,10,.300,0,4,.000,0,0,,1,7,8,0,0,0,3,1,6,-0.4,-10
8,9,2012-01-07,32-062,DAL,W (+15),NOH,0,20:08,4,9,.444,1,4,.250,0,0,,1,4,5,2,1,0,1,5,9,5.6,+1
9,10,2012-01-10,32-065,DAL,W (+14),DET,0,20:33,0,3,.000,0,2,.000,5,6,.833,1,6,7,4,0,1,2,4,5,4.9,+1
10,11,2012-01-11,32-066,DAL,W (+5),BOS,0,15:04,2,3,.667,1,2,.500,1,2,.500,0,2,2,2,0,1,1,0,6,6.0,+1
11,12,2012-01-13,32-068,DAL,W (+26),MIL,0,23:33,3,8,.375,0,2,.000,0,0,,0,6,6,1,0,1,1,3,6,2.6,+13
12,13,2012-01-14,32-069,DAL,W (+39),SAC,0,22:16,3,7,.429,1,2,.500,2,4,.500,0,7,7,2,0,1,1,3,9,6.5,+32
13,14,2012-01-16,32-071,DAL,L (-3),LAL,0,24:22,4,12,.333,2,5,.400,0,0,,0,4,4,2,0,0,1,2,10,4.0,-1
14,15,2012-01-18,32-073,DAL,L (-2),LAC,0,24:34,1,4,.250,0,0,,3,4,.750,1,6,7,1,1,0,1,1,5,5.0,+10
15,16,2012-01-19,32-074,DAL,W (+3),UTA,0,20:05,4,5,.800,1,1,1.000,2,2,1.000,1,0,1,1,1,1,0,2,11,11.4,-9
16,17,2012-01-21,32-076,DAL,W (+2),NOH,1,25:43,6,14,.429,1,5,.200,3,6,.500,3,1,4,2,0,0,3,3,16,7.0,+9
17,18,2012-01-23,32-078,DAL,W (+6),PHO,1,28:12,4,10,.400,2,4,.500,1,5,.200,0,3,3,5,0,0,0,2,11,7.6,-9
18,19,2012-01-25,32-080,DAL,L (-15),MIN,1,16:29,2,14,.143,0,2,.000,1,2,.500,0,4,4,0,0,0,2,0,5,-5.2,-10
