,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
3,4,2016-11-01,25-233,CLE,W (+8),HOU,1,26:34,2,2,1.000,0,0,,0,0,,6,4,10,3,0,1,0,4,4,10.0,-4
4,5,2016-11-03,25-235,CLE,W (+6),BOS,1,31:04,6,7,.857,0,0,,3,4,.750,4,10,14,1,1,3,0,1,15,21.3,+10
5,6,2016-11-05,25-237,CLE,W (+1),PHI,1,29:35,3,6,.500,0,0,,1,2,.500,6,7,13,0,0,2,0,2,7,10.5,+1
6,7,2016-11-08,25-240,CLE,L (-4),ATL,1,24:57,0,0,,0,0,,0,2,.000,0,2,2,0,1,0,0,3,0,-0.4,-14
7,8,2016-11-11,25-243,CLE,W (+11),WAS,1,23:00,1,4,.250,0,0,,0,0,,4,3,7,1,1,3,1,3,2,4.9,+10
8,9,2016-11-13,25-245,CLE,W (+7),CHO,1,29:41,1,2,.500,0,0,,2,6,.333,3,9,12,0,0,2,0,1,4,7.2,-10
9,10,2016-11-15,25-247,CLE,W (+4),TOR,1,29:47,7,8,.875,0,0,,1,1,1.000,3,8,11,0,0,1,1,2,15,15.6,+8
10,11,2016-11-16,25-248,CLE,L (-10),IND,1,27:33,1,2,.500,0,0,,0,2,.000,3,9,12,3,0,1,0,5,2,5.8,0
11,12,2016-11-18,25-250,CLE,W (+23),DET,1,29:41,3,8,.375,0,1,.000,2,2,1.000,1,13,14,2,0,4,0,1,8,12.0,+24
12,13,2016-11-23,25-255,CLE,W (+12),POR,1,27:21,2,3,.667,0,0,,2,6,.333,1,5,6,1,0,0,0,1,6,5.6,+15
13,14,2016-11-25,25-257,CLE,W (+38),DAL,1,28:38,4,5,.800,0,0,,3,4,.750,4,8,12,1,1,0,0,1,11,15.2,+28
14,15,2016-11-27,25-259,CLE,W (+4),PHI,1,36:29,5,8,.625,0,0,,2,4,.500,5,7,12,0,0,2,1,4,12,12.0,+5
15,16,2016-11-29,25-261,CLE,L (-17),MIL,1,30:21,3,6,.500,0,0,,2,4,.500,2,3,5,2,2,3,1,2,8,10.2,-11
16,17,2016-12-01,25-263,CLE,L (-19),LAC,1,34:28,1,3,.333,0,0,,1,2,.500,4,4,8,0,1,1,1,3,3,4.4,-20
17,18,2016-12-02,25-264,CLE,L (-6),CHI,1,26:54,5,5,1.000,0,0,,1,4,.250,2,4,6,1,0,0,2,2,11,8.8,-11
18,19,2016-12-05,25-267,CLE,W (+4),TOR,1,28:56,3,5,.600,0,0,,0,2,.000,4,10,14,1,0,2,1,1,6,9.4,+7
19,20,2016-12-07,25-269,CLE,W (+32),NYK,1,34:17,0,5,.000,0,0,,3,4,.750,6,14,20,1,2,1,0,2,3,10.1,+27
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2016-12-09,25-271,CLE,W (+30),MIA,1,27:42,1,2,.500,0,0,,0,0,,3,5,8,0,0,1,1,3,2,3.1,+9
22,22,2016-12-10,25-272,CLE,W (+11),CHO,1,27:54,5,5,1.000,0,0,,3,6,.500,4,8,12,0,1,0,3,3,13,12.3,+7
23,23,2016-12-13,25-275,CLE,W (+17),MEM,1,30:26,3,6,.500,0,0,,0,0,,2,5,7,0,0,1,1,4,6,4.0,+22
24,24,2016-12-14,25-276,CLE,L (-8),MEM,1,28:28,2,5,.400,0,0,,3,6,.500,4,7,11,0,1,0,0,1,7,8.6,-12
25,25,2016-12-17,25-279,CLE,W (+11),LAL,1,27:14,3,7,.429,0,0,,0,0,,3,3,6,1,0,0,0,0,6,6.0,-2
26,26,2016-12-20,25-282,CLE,W (+6),MIL,1,25:54,4,7,.571,0,0,,2,3,.667,5,7,12,0,1,1,2,5,10,9.6,-3
27,27,2016-12-21,25-283,CLE,W (+11),MIL,1,26:22,2,6,.333,0,0,,1,4,.250,7,6,13,1,0,4,1,2,5,8.8,+9
28,28,2016-12-23,25-285,CLE,W (+20),BRK,1,25:50,7,8,.875,0,0,,2,2,1.000,6,5,11,1,1,1,2,1,16,18.9,+30
29,29,2016-12-25,25-287,CLE,W (+1),GSW,1,27:47,2,5,.400,0,0,,4,6,.667,6,2,8,0,1,0,0,2,8,9.5,-8
30,30,2016-12-26,25-288,CLE,L (-16),DET,1,26:17,2,4,.500,0,0,,3,4,.750,4,6,10,1,0,1,1,4,7,8.0,-2
31,31,2016-12-29,25-291,CLE,W (+6),BOS,1,32:27,5,9,.556,0,1,.000,1,2,.500,3,6,9,1,0,0,1,1,11,9.5,+17
32,32,2016-12-31,25-293,CLE,W (+12),CHO,1,29:01,4,5,.800,0,0,,3,3,1.000,2,4,6,0,1,0,0,2,11,11.9,+14
33,33,2017-01-02,25-295,CLE,W (+8),NOP,1,28:05,1,2,.500,0,0,,0,0,,3,6,9,0,0,1,1,1,2,4.2,-17
34,34,2017-01-04,25-297,CLE,L (-12),CHI,1,32:47,1,5,.200,0,0,,0,0,,9,2,11,0,2,0,3,3,2,3.6,-2
35,35,2017-01-06,25-299,CLE,W (+8),BRK,1,30:24,3,3,1.000,0,0,,4,13,.308,2,7,9,2,3,2,2,5,10,10.8,+19
36,36,2017-01-08,25-301,CLE,W (+4),PHO,1,28:15,2,4,.500,0,0,,4,4,1.000,4,6,10,1,0,0,1,3,8,9.1,-6
37,37,2017-01-10,25-303,CLE,L (-8),UTA,1,34:41,5,8,.625,0,0,,2,5,.400,6,6,12,1,0,0,1,3,12,11.7,+2
38,38,2017-01-11,25-304,CLE,L (-16),POR,1,27:31,4,6,.667,0,0,,1,2,.500,5,5,10,2,0,1,3,2,9,9.3,-6
39,39,2017-01-13,25-306,CLE,W (+12),SAC,1,25:42,3,6,.500,0,1,.000,3,6,.500,1,3,4,0,2,2,0,3,9,8.6,+14
40,40,2017-01-16,25-309,CLE,L (-35),GSW,1,29:39,2,3,.667,0,0,,2,2,1.000,2,3,5,0,0,3,1,2,6,7.3,-28
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41,2017-01-19,25-312,CLE,W (+15),PHO,1,19:36,1,6,.167,0,0,,0,2,.000,0,6,6,1,0,2,1,2,2,-0.5,+3
43,42,2017-01-21,25-314,CLE,L (-3),SAS,1,38:41,7,13,.538,0,0,,0,4,.000,5,7,12,1,0,1,1,2,14,11.3,+14
44,43,2017-01-23,25-316,CLE,L (-2),NOP,1,27:51,1,5,.200,0,0,,0,0,,2,5,7,0,0,1,0,3,2,1.3,-2
45,44,2017-01-25,25-318,CLE,L (-4),SAC,1,31:56,2,3,.667,0,0,,2,6,.333,3,5,8,1,0,1,0,5,6,6.1,-4
46,45,2017-01-27,25-320,CLE,W (+8),BRK,1,28:02,5,5,1.000,0,0,,0,2,.000,2,8,10,2,0,1,0,2,10,12.8,+12
47,46,2017-01-29,25-322,CLE,W (+16),OKC,1,33:35,7,15,.467,0,0,,5,5,1.000,5,6,11,1,4,4,1,1,19,22.7,+26
