,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
40,40,2011-01-17,21-307,LAC,W (+7),IND,1,36:56,19,24,.792,0,0,,9,11,.818,3,11,14,3,0,1,4,3,47,40.0,+17
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41,2011-01-19,21-309,LAC,W (+15),MIN,1,31:20,10,21,.476,1,1,1.000,8,13,.615,5,3,8,6,0,0,3,4,29,20.3,+8
43,42,2011-01-20,21-310,LAC,L (-15),POR,1,44:37,6,17,.353,0,0,,8,13,.615,4,14,18,4,2,0,5,3,20,14.1,-13
44,43,2011-01-22,21-312,LAC,W (+4),GSW,1,41:26,10,16,.625,1,1,1.000,9,10,.900,5,13,18,8,0,0,4,4,30,29.8,+7
45,44,2011-01-25,21-315,LAC,L (-7),DAL,1,35:23,7,16,.438,0,0,,8,14,.571,3,8,11,4,0,0,3,2,22,14.7,-11
46,45,2011-01-26,21-316,LAC,L (-13),HOU,1,37:07,5,16,.313,0,0,,4,5,.800,4,7,11,2,0,1,3,3,14,7.2,-14
47,46,2011-01-29,21-319,LAC,W (+15),CHA,1,40:49,11,23,.478,0,1,.000,2,5,.400,3,7,10,3,2,0,2,3,24,16.2,+26
48,47,2011-01-31,21-321,LAC,W (+7),MIL,1,40:34,13,20,.650,0,0,,6,6,1.000,4,7,11,6,1,0,2,5,32,29.3,+13
49,48,2011-02-02,21-323,LAC,L (-18),CHI,1,41:01,14,26,.538,0,1,.000,4,13,.308,2,11,13,7,0,1,0,2,32,25.3,-9
50,49,2011-02-04,21-325,LAC,L (-1),ATL,1,39:20,8,18,.444,0,0,,3,6,.500,3,8,11,2,0,0,4,2,19,9.5,-4
51,50,2011-02-06,21-327,LAC,L (-18),MIA,1,38:26,7,17,.412,0,0,,7,13,.538,7,9,16,2,0,0,2,3,21,15.3,-10
52,51,2011-02-08,21-329,LAC,L (-16),ORL,1,35:20,4,12,.333,0,0,,2,4,.500,3,9,12,1,1,0,3,2,10,5.1,-6
53,52,2011-02-09,21-330,LAC,W (+8),NYK,1,36:50,10,17,.588,0,0,,1,2,.500,2,4,6,2,1,0,5,1,21,12.3,+7
54,53,2011-02-11,21-332,LAC,L (-7),CLE,1,44:22,11,26,.423,1,1,1.000,9,10,.900,4,9,13,2,2,0,3,4,32,22.1,-4
55,54,2011-02-13,21-334,LAC,L (-5),TOR,1,36:21,7,13,.538,0,0,,7,10,.700,2,13,15,2,0,0,1,5,21,17.2,-10
56,55,2011-02-14,21-335,LAC,L (-24),MIL,1,40:58,7,19,.368,0,1,.000,5,7,.714,2,10,12,6,1,0,3,3,19,13.1,-9
57,56,2011-02-16,21-337,LAC,W (+8),MIN,1,45:34,12,20,.600,0,1,.000,5,7,.714,2,6,8,5,0,1,3,4,29,21.8,+9
58,57,2011-02-22,21-343,LAC,L (-23),OKC,1,32:59,9,15,.600,0,0,,10,17,.588,4,7,11,8,0,0,2,4,28,25.2,+3
59,58,2011-02-23,21-344,LAC,L (-11),NOH,1,43:12,8,17,.471,0,1,.000,5,8,.625,2,11,13,3,0,2,4,5,21,13.3,-11
60,59,2011-02-25,21-346,LAC,L (-13),LAL,1,37:32,7,18,.389,0,0,,8,10,.800,3,7,10,2,0,1,0,3,22,16.5,-9
61,60,2011-02-26,21-347,LAC,L (-7),BOS,1,41:23,7,14,.500,0,0,,7,8,.875,2,9,11,4,1,0,2,4,21,17.9,-13
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,61,2011-02-28,21-349,LAC,L (-6),SAC,1,35:36,9,17,.529,0,0,,9,12,.750,6,6,12,4,1,0,3,2,27,23.5,+5
64,62,2011-03-02,21-351,LAC,W (+3),HOU,1,34:25,7,12,.583,0,1,.000,6,6,1.000,1,13,14,5,1,0,2,5,20,19.5,+10
65,63,2011-03-05,21-354,LAC,W (+6),DEN,1,42:01,4,10,.400,0,0,,10,11,.909,2,10,12,9,2,1,3,1,18,22.2,+8
66,64,2011-03-07,21-356,LAC,W (+5),CHA,1,37:16,5,11,.455,0,0,,7,8,.875,4,11,15,3,0,0,3,2,17,15.3,0
67,65,2011-03-09,21-358,LAC,W (+5),BOS,1,37:19,4,14,.286,0,1,.000,4,4,1.000,2,5,7,5,2,0,2,4,12,8.6,+2
68,66,2011-03-11,21-360,LAC,L (-4),NJN,1,43:05,9,18,.500,0,0,,5,8,.625,2,7,9,0,1,1,2,3,23,14.8,-13
69,67,2011-03-12,21-361,LAC,W (+21),WAS,1,29:52,8,17,.471,0,1,.000,10,11,.909,1,4,5,2,0,2,2,1,26,19.2,+18
70,68,2011-03-14,21-363,LAC,L (-23),MEM,1,31:37,4,10,.400,0,0,,0,3,.000,2,7,9,1,0,0,3,3,8,1.4,-12
71,69,2011-03-16,22-000,LAC,L (-10),PHI,1,36:17,3,12,.250,0,0,,8,15,.533,0,8,8,2,0,2,3,6,14,3.8,-23
72,70,2011-03-19,22-003,LAC,W (+8),CLE,1,37:44,12,21,.571,0,1,.000,6,6,1.000,1,7,8,8,0,0,3,2,30,24.7,+4
73,71,2011-03-20,22-004,LAC,L (-9),PHO,1,33:31,6,18,.333,0,0,,5,6,.833,0,2,2,3,0,2,2,6,17,6.1,-6
74,72,2011-03-23,22-007,LAC,W (+8),WAS,1,51:28,14,19,.737,0,1,.000,5,8,.625,4,13,17,10,1,1,5,6,33,32.1,+12
75,73,2011-03-25,22-009,LAC,L (-8),LAL,1,37:18,9,16,.563,0,0,,4,6,.667,0,6,6,4,2,0,2,3,22,17.0,-12
76,74,2011-03-26,22-010,LAC,W (+4),TOR,1,39:24,9,23,.391,0,1,.000,4,9,.444,3,13,16,5,1,0,2,3,22,14.8,+9
77,75,2011-03-30,22-014,LAC,L (-6),DAL,1,36:57,10,14,.714,0,1,.000,5,8,.625,2,15,17,3,3,0,3,4,25,24.4,-4
78,76,2011-04-01,22-016,LAC,L (-13),PHO,1,33:10,6,15,.400,0,0,,8,10,.800,4,9,13,4,0,0,4,1,20,15.0,-11
79,77,2011-04-02,22-017,LAC,W (+6),OKC,1,41:48,7,16,.438,0,0,,12,18,.667,2,14,16,3,2,0,3,4,26,20.3,+6
80,78,2011-04-05,22-020,LAC,W (+1),MEM,1,39:35,6,15,.400,0,0,,3,6,.500,3,11,14,2,3,0,6,4,15,7.9,-5
81,79,2011-04-06,22-021,LAC,L (-4),OKC,1,38:05,15,20,.750,0,0,,5,8,.625,3,8,11,6,1,1,0,2,35,35.4,-8
82,80,2011-04-08,22-023,LAC,L (-11),DAL,1,40:29,11,19,.579,0,0,,1,5,.200,3,6,9,6,2,1,2,3,23,20.1,-8
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,81,2011-04-09,22-024,LAC,L (-21),HOU,1,36:12,6,18,.333,0,0,,1,2,.500,4,6,10,4,1,1,1,0,13,10.5,-23
85,82,2011-04-13,22-028,LAC,W (+7),MEM,1,40:30,13,21,.619,0,1,.000,5,7,.714,3,7,10,10,1,1,4,5,31,27.6,+2
0,1,2011-12-25,22-284,LAC,W (+19),GSW,1,34:44,9,18,.500,0,0,,4,8,.500,5,2,7,1,2,0,3,4,22,13.6,+17
1,2,2011-12-28,22-287,LAC,L (-25),SAS,1,33:48,11,19,.579,0,0,,6,8,.750,3,6,9,2,0,0,1,2,28,21.8,-37
2,3,2011-12-30,22-289,LAC,L (-13),CHI,1,41:33,14,25,.560,0,0,,6,10,.600,6,7,13,3,1,0,2,1,34,27.5,-9
3,4,2012-01-01,22-291,LAC,W (+5),POR,1,37:02,6,11,.545,0,0,,8,10,.800,1,9,10,4,1,0,5,4,20,14.5,+2
4,5,2012-01-04,22-294,LAC,W (+28),HOU,1,32:25,10,15,.667,0,0,,2,5,.400,1,8,9,3,2,1,2,2,22,19.4,+20
5,6,2012-01-07,22-297,LAC,W (+6),MIL,1,39:55,8,15,.533,0,0,,6,11,.545,3,11,14,1,1,2,5,2,22,15.4,+10
6,7,2012-01-10,22-300,LAC,L (-8),POR,1,38:06,9,17,.529,0,0,,0,2,.000,5,7,12,2,1,0,3,5,18,11.9,-1
7,8,2012-01-11,22-301,LAC,W (+6),MIA,1,40:55,9,23,.391,1,1,1.000,1,4,.250,4,8,12,2,1,1,2,5,20,10.6,+9
8,9,2012-01-14,22-304,LAC,W (+8),LAL,1,44:41,9,18,.500,0,0,,4,7,.571,3,11,14,5,1,0,3,5,22,16.7,+10
9,10,2012-01-16,22-306,LAC,W (+10),NJN,1,39:43,9,15,.600,0,0,,5,13,.385,6,8,14,3,1,1,4,4,23,17.7,+18
10,11,2012-01-17,22-307,LAC,L (-29),UTA,1,27:04,5,12,.417,0,0,,0,0,,3,8,11,3,0,1,1,2,10,9.1,-14
11,12,2012-01-18,22-308,LAC,W (+2),DAL,1,38:47,6,15,.400,0,0,,2,8,.250,5,12,17,7,1,1,3,5,14,12.2,+10
12,13,2012-01-20,22-310,LAC,L (-3),MIN,1,37:46,7,17,.412,0,0,,7,11,.636,2,8,10,2,1,0,5,3,21,10.3,-6
13,14,2012-01-22,22-312,LAC,W (+12),TOR,1,30:49,6,11,.545,0,0,,6,14,.429,0,9,9,3,1,1,3,1,18,12.6,+20
14,15,2012-01-25,22-315,LAC,L (-5),LAL,1,32:51,13,22,.591,0,0,,0,2,.000,6,3,9,0,0,0,4,4,26,14.5,+2
15,16,2012-01-26,22-316,LAC,W (+7),MEM,1,40:18,8,14,.571,0,1,.000,4,8,.500,1,8,9,8,0,2,3,2,20,18.1,+5
16,17,2012-01-29,22-319,LAC,W (+4),DEN,1,40:26,7,16,.438,0,0,,3,6,.500,4,9,13,3,0,4,2,2,17,15.0,+21
17,18,2012-01-30,22-320,LAC,W (+12),OKC,1,36:15,9,16,.563,0,0,,4,7,.571,2,5,7,2,2,2,3,3,22,16.7,+10
18,19,2012-02-01,22-322,LAC,W (+2),UTA,1,36:43,14,22,.636,0,0,,3,5,.600,3,11,14,2,1,3,1,5,31,27.3,+9
19,20,2012-02-02,22-323,LAC,L (-21),DEN,1,32:03,9,12,.750,0,0,,0,2,.000,1,4,5,2,1,1,2,3,18,14.2,-14
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2012-02-04,22-325,LAC,W (+26),WAS,1,31:35,10,15,.667,0,0,,1,7,.143,1,10,11,8,2,1,4,3,21,18.9,+34
22,22,2012-02-06,22-327,LAC,W (+5),ORL,1,45:16,6,11,.545,0,0,,6,7,.857,1,9,10,3,1,1,1,2,18,17.7,-3
23,23,2012-02-08,22-329,LAC,L (-7),CLE,1,37:25,8,16,.500,0,0,,9,10,.900,5,10,15,1,1,0,1,6,25,21.4,-1
24,24,2012-02-10,22-331,LAC,W (+1),PHI,1,39:53,8,19,.421,0,0,,0,2,.000,4,7,11,4,1,0,1,2,16,12.0,-2
25,25,2012-02-11,22-332,LAC,W (+25),CHA,1,30:50,7,14,.500,0,0,,7,8,.875,2,8,10,3,0,1,2,0,21,18.2,+30
26,26,2012-02-13,22-334,LAC,L (-4),DAL,1,39:31,9,17,.529,0,0,,2,9,.222,1,6,7,2,0,0,4,3,20,7.6,-3
27,27,2012-02-15,22-336,LAC,W (+18),WAS,1,34:23,10,19,.526,0,0,,3,5,.600,8,7,15,3,1,0,1,3,23,21.5,+17
28,28,2012-02-16,22-337,LAC,W (+3),POR,1,36:54,9,15,.600,0,0,,3,4,.750,4,10,14,1,0,1,3,5,21,15.9,+1
29,29,2012-02-18,22-339,LAC,L (-3),SAS,1,43:04,9,18,.500,0,0,,4,6,.667,7,13,20,2,0,0,1,6,22,19.0,+10
30,30,2012-02-20,22-341,LAC,L (-7),GSW,1,28:50,7,10,.700,0,1,.000,7,10,.700,2,7,9,2,0,0,2,5,21,16.5,-12
31,31,2012-02-22,22-343,LAC,W (+8),DEN,1,36:36,11,18,.611,0,1,.000,5,10,.500,3,9,12,5,1,0,0,4,27,24.5,+19
32,32,2012-02-28,22-349,LAC,L (-12),MIN,1,37:13,10,19,.526,0,1,.000,10,14,.714,1,6,7,4,1,0,3,2,30,21.6,-2
33,33,2012-03-01,22-351,LAC,W (+8),SAC,1,30:01,7,12,.583,0,0,,0,0,,2,7,9,3,1,0,2,0,14,13.0,+14
34,34,2012-03-02,22-352,LAC,L (-3),PHO,1,36:56,6,19,.316,0,0,,5,5,1.000,0,7,7,1,1,2,0,3,17,10.1,-7
35,35,2012-03-04,22-354,LAC,W (+2),HOU,1,38:06,5,14,.357,0,0,,4,7,.571,4,7,11,3,2,1,4,1,14,10.3,-8
36,36,2012-03-05,22-355,LAC,L (-1),MIN,1,38:27,10,18,.556,0,0,,6,13,.462,6,6,12,3,0,1,2,4,26,19.8,+4
37,37,2012-03-07,22-357,LAC,L (-1),NJN,1,39:29,9,15,.600,0,0,,10,17,.588,6,11,17,2,2,1,2,2,28,27.1,-1
38,38,2012-03-09,22-359,LAC,W (+12),SAS,1,35:23,7,14,.500,0,0,,1,3,.333,3,6,9,2,0,0,3,4,15,7.9,+5
39,39,2012-03-11,22-361,LAC,L (-4),GSW,1,37:40,10,19,.526,0,1,.000,7,15,.467,5,7,12,3,0,2,3,3,27,19.4,-16
40,40,2012-03-12,22-362,LAC,L (-9),BOS,1,35:05,9,15,.600,0,1,.000,6,8,.750,3,6,9,4,0,1,2,4,24,20.1,-9
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41,2012-03-14,22-364,LAC,W (+14),ATL,1,33:22,5,9,.556,0,0,,2,4,.500,2,8,10,4,0,0,3,3,12,9.3,+15
43,42,2012-03-15,22-365,LAC,L (-4),PHO,1,33:31,12,18,.667,0,1,.000,1,4,.250,1,7,8,4,0,1,3,3,25,18.1,-9
44,43,2012-03-17,23-001,LAC,W (+4),HOU,1,30:40,7,13,.538,0,0,,4,6,.667,3,5,8,4,2,0,0,6,18,16.9,+6
45,44,2012-03-18,23-002,LAC,W (+4),DET,1,39:20,7,13,.538,0,1,.000,3,7,.429,2,9,11,1,1,1,3,5,17,10.6,+8
46,45,2012-03-20,23-004,LAC,L (-13),IND,1,34:33,10,18,.556,1,1,1.000,2,7,.286,4,6,10,1,0,0,1,3,23,15.5,0
47,46,2012-03-21,23-005,LAC,L (-23),OKC,1,32:55,3,11,.273,0,0,,1,2,.500,1,6,7,3,1,0,0,4,7,4.1,-16
48,47,2012-03-22,23-006,LAC,L (-7),NOH,1,36:04,7,19,.368,0,0,,7,13,.538,6,5,11,2,2,0,2,4,21,13.6,-3
49,48,2012-03-24,23-008,LAC,W (+16),MEM,1,34:15,6,9,.667,0,0,,8,12,.667,3,7,10,5,1,1,3,2,20,20.1,+20
50,49,2012-03-26,23-010,LAC,W (+12),NOH,1,32:50,8,10,.800,0,0,,4,9,.444,2,5,7,5,2,0,0,4,20,21.0,+14
51,50,2012-03-28,23-012,LAC,W (+17),PHO,1,34:11,13,19,.684,0,1,.000,1,3,.333,4,10,14,5,1,1,4,4,27,23.5,+11
52,51,2012-03-30,23-014,LAC,W (+1),POR,1,39:31,8,14,.571,0,0,,4,8,.500,3,10,13,3,0,0,1,4,20,16.4,+17
53,52,2012-03-31,23-015,LAC,W (+9),UTA,1,37:03,10,16,.625,0,0,,4,8,.500,0,8,8,6,1,1,5,2,24,17.7,+17
54,53,2012-04-02,23-017,LAC,W (+19),DAL,1,33:25,7,11,.636,0,0,,1,5,.200,3,13,16,1,0,1,1,3,15,13.7,+18
55,54,2012-04-04,23-019,LAC,L (-5),LAL,1,36:12,7,16,.438,0,0,,1,3,.333,7,7,14,1,0,0,1,3,15,11.3,-16
56,55,2012-04-05,23-020,LAC,W (+8),SAC,1,38:14,7,11,.636,0,0,,0,4,.000,3,6,9,3,0,1,1,3,14,12.0,-1
57,56,2012-04-07,23-022,LAC,W (+15),SAC,1,35:12,12,15,.800,0,1,.000,3,9,.333,2,12,14,4,2,0,3,3,27,24.5,+23
58,57,2012-04-09,23-024,LAC,L (-9),MEM,1,37:04,9,14,.643,0,1,.000,1,3,.333,1,5,6,3,1,0,2,3,19,14.1,-4
59,58,2012-04-11,23-026,LAC,W (+2),OKC,1,35:15,6,15,.400,0,0,,4,5,.800,3,9,12,7,1,1,2,2,16,16.1,+1
60,59,2012-04-12,23-027,LAC,W (+13),MIN,1,36:21,9,16,.563,0,0,,1,5,.200,8,5,13,5,1,1,0,4,19,20.5,+23
61,60,2012-04-14,23-029,LAC,W (+8),GSW,1,34:24,9,14,.643,0,1,.000,2,8,.250,3,6,9,3,1,1,1,2,20,17.3,+11
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
