,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
48,,2009-02-03,24-131,MIN,W (+5),IND,Did Not Play,,,,,,,,,,,,,,,,,,,,,
49,31,2009-02-04,24-132,MIN,L (-8),ATL,0,15:19,4,7,.571,2,4,.500,0,0,,0,4,4,0,1,1,2,3,10,6.4,+9
50,32,2009-02-07,24-135,MIN,L (-17),HOU,0,15:07,1,5,.200,1,4,.250,1,2,.500,0,1,1,0,1,0,1,3,4,-0.4,-13
51,33,2009-02-08,24-136,MIN,L (-4),NOH,0,3:20,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,2,2,0.5,-2
52,,2009-02-10,24-138,MIN,L (-8),TOR,Not With Team,,,,,,,,,,,,,,,,,,,,,
53,34,2009-02-17,24-145,MIN,L (-8),WAS,0,8:22,1,5,.200,0,1,.000,1,2,.500,1,0,1,1,1,0,1,2,3,0.1,-8
54,,2009-02-18,24-146,MIN,W (+7),MIA,Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,,2009-02-21,24-149,SAC,L (-21),DAL,Inactive,,,,,,,,,,,,,,,,,,,,,
56,35,2009-02-23,24-151,SAC,L (-7),NOH,0,9:56,0,2,.000,0,0,,0,0,,0,0,0,2,0,1,0,1,0,0.3,-2
57,36,2009-02-25,24-153,SAC,L (-7),CHA,0,6:10,3,7,.429,0,3,.000,0,0,,1,1,2,0,0,0,0,0,6,3.3,+13
58,37,2009-02-27,24-155,SAC,W (+12),LAC,0,23:39,6,11,.545,0,2,.000,0,0,,2,4,6,1,2,1,1,4,12,10.1,+5
59,38,2009-02-28,24-156,SAC,L (-13),UTA,0,26:53,8,14,.571,1,2,.500,0,0,,0,2,2,1,2,0,1,2,17,11.9,-8
60,39,2009-03-03,24-159,SAC,L (-8),IND,0,30:17,6,6,1.000,3,3,1.000,5,6,.833,0,4,4,1,1,0,0,1,20,20.3,+12
61,40,2009-03-08,24-164,SAC,W (+8),DEN,0,16:17,2,5,.400,0,3,.000,3,5,.600,0,2,2,2,0,1,0,3,7,5.0,-8
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,41,2009-03-10,24-166,SAC,L (-1),OKC,0,18:25,4,5,.800,2,2,1.000,3,5,.600,0,0,0,0,1,0,2,4,13,7.7,+14
64,42,2009-03-13,24-169,SAC,L (-3),CLE,0,12:16,2,8,.250,1,3,.333,0,0,,1,1,2,1,0,0,1,1,5,0.5,-2
65,43,2009-03-15,24-171,SAC,L (-2),WAS,0,10:20,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,3,2,1.1,-2
66,44,2009-03-17,24-173,SAC,L (-22),ATL,0,19:31,2,6,.333,0,1,.000,0,0,,1,2,3,1,2,0,0,0,4,4.6,-19
67,45,2009-03-18,24-174,SAC,L (-16),CHA,1,38:46,10,20,.500,5,8,.625,5,6,.833,0,1,1,1,2,2,3,3,30,19.8,-11
68,,2009-03-20,24-176,SAC,W (+27),NYK,Did Not Play,,,,,,,,,,,,,,,,,,,,,
69,46,2009-03-22,24-178,SAC,L (-12),PHI,0,24:59,3,10,.300,0,2,.000,4,4,1.000,0,4,4,3,1,0,0,0,10,8.5,+1
70,47,2009-03-27,24-183,SAC,L (-18),MEM,0,8:44,1,4,.250,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,3,0.2,-6
