,G,2004 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
82,2,2010-04-20,WC1,LAL,,OKC,2,W (+3),0,26:08,2,9,.222,0,1,.000,0,0,,4,4,8,3,2,0,1,4,4,4.0,-1
83,3,2010-04-22,WC1,LAL,@,OKC,3,L (-5),0,21:21,3,7,.429,1,4,.250,1,2,.500,1,5,6,0,0,1,1,2,8,5.0,-10
84,4,2010-04-24,WC1,LAL,@,OKC,4,L (-21),0,22:47,6,12,.500,0,1,.000,0,2,.000,2,4,6,1,2,1,0,5,12,9.2,-17
85,5,2010-04-27,WC1,LAL,,OKC,5,W (+24),0,31:26,3,8,.375,1,2,.500,0,0,,2,6,8,4,0,3,1,1,7,9.3,+5
86,6,2010-04-30,WC1,LAL,@,OKC,6,W (+1),0,30:24,4,8,.500,1,3,.333,0,1,.000,0,7,7,2,0,3,0,5,9,8.2,-6
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7,2010-05-02,WCS,LAL,,UTA,1,W (+5),0,31:21,4,10,.400,1,4,.250,0,1,.000,5,7,12,2,0,2,2,5,9,7.6,+5
89,8,2010-05-04,WCS,LAL,,UTA,2,W (+8),0,28:36,4,4,1.000,0,0,,3,4,.750,4,11,15,4,0,3,1,4,11,17.8,+10
90,9,2010-05-08,WCS,LAL,@,UTA,3,W (+1),0,26:05,2,6,.333,1,3,.333,3,4,.750,4,4,8,0,0,0,0,4,8,6.6,+6
91,10,2010-05-10,WCS,LAL,@,UTA,4,W (+15),0,25:30,2,4,.500,1,1,1.000,5,6,.833,0,5,5,1,0,1,0,4,10,8.9,+30
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,11,2010-05-17,WCF,LAL,,PHO,1,W (+21),0,30:33,9,15,.600,1,2,.500,0,0,,7,12,19,3,1,0,1,3,19,21.5,+24
94,12,2010-05-19,WCF,LAL,,PHO,2,W (+12),0,33:18,7,10,.700,0,0,,3,4,.750,3,8,11,4,3,1,2,3,17,20.2,+8
95,13,2010-05-23,WCF,LAL,@,PHO,3,L (-9),0,34:56,4,14,.286,0,4,.000,2,4,.500,2,4,6,2,0,2,3,6,10,1.0,-9
96,14,2010-05-25,WCF,LAL,@,PHO,4,L (-9),0,35:25,6,13,.462,1,3,.333,2,4,.500,4,6,10,3,1,0,0,4,15,13.6,-12
97,15,2010-05-27,WCF,LAL,,PHO,5,W (+2),0,36:51,7,11,.636,0,1,.000,3,4,.750,5,8,13,4,1,0,2,1,17,19.0,+8
98,16,2010-05-29,WCF,LAL,@,PHO,6,W (+8),0,34:59,3,12,.250,0,0,,0,1,.000,5,7,12,3,1,0,1,4,6,4.5,+12
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,17,2010-06-03,FIN,LAL,,BOS,1,W (+13),0,21:17,2,6,.333,0,2,.000,1,2,.500,1,3,4,1,0,1,2,5,5,0.2,+2
101,18,2010-06-06,FIN,LAL,,BOS,2,L (-9),0,14:38,1,3,.333,0,1,.000,1,1,1.000,0,5,5,1,0,0,1,5,3,0.5,-10
102,19,2010-06-08,FIN,LAL,@,BOS,3,W (+7),0,27:51,5,5,1.000,1,1,1.000,1,1,1.000,1,4,5,1,0,0,1,4,12,10.5,+14
103,20,2010-06-10,FIN,LAL,@,BOS,4,L (-7),0,39:05,5,10,.500,0,1,.000,0,1,.000,1,6,7,1,1,0,1,5,10,5.8,-5
104,21,2010-06-13,FIN,LAL,@,BOS,5,L (-6),0,26:17,4,6,.667,0,0,,0,2,.000,3,5,8,2,2,0,3,2,8,7.8,+7
105,22,2010-06-15,FIN,LAL,,BOS,6,W (+22),0,28:26,3,9,.333,0,2,.000,2,2,1.000,1,9,10,1,1,2,1,2,8,7.6,+14
106,23,2010-06-17,FIN,LAL,,BOS,7,W (+4),0,34:32,3,8,.375,0,3,.000,1,2,.500,3,4,7,2,0,1,1,0,7,6.6,+13
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,2011-04-17,WC1,LAL,,NOH,1,L (-9),0,30:50,3,6,.500,2,5,.400,2,4,.500,0,1,1,2,0,0,1,2,10,6.1,-8
109,2,2011-04-20,WC1,LAL,,NOH,2,W (+9),0,27:47,8,12,.667,0,1,.000,0,2,.000,0,7,7,2,0,1,2,3,16,11.0,+12
110,3,2011-04-22,WC1,LAL,@,NOH,3,W (+14),0,25:06,4,8,.500,0,1,.000,5,6,.833,2,7,9,2,0,0,3,5,13,8.5,+1
111,4,2011-04-24,WC1,LAL,@,NOH,4,L (-5),0,24:54,1,7,.143,0,3,.000,4,4,1.000,1,3,4,0,0,0,2,0,6,1.1,-8
