,G,2012 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
88,2,2022-04-25,EC1,BRK,,BOS,4,L (-4),0,17:36,0,3,.000,0,2,.000,0,0,,1,2,3,4,1,0,0,2,0,2.2,+10
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,2023-04-15,,BOS,,ATL,,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
91,,2023-04-18,,BOS,,ATL,,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
92,,2023-04-21,,BOS,@,ATL,,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
93,,2023-04-23,,BOS,@,ATL,,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
94,1,2023-04-25,EC1,BOS,,ATL,5,L (-2),0,5:53,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,0
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,2023-04-27,,BOS,@,ATL,,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
97,,2023-05-01,,BOS,,PHI,,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
98,,2023-05-03,,BOS,,PHI,,W (+34),Did Not Play,,,,,,,,,,,,,,,,,,,,,
