,G,2015 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,16,2016-06-05,FIN,CLE,@,GSW,2,L (-33),1,19:13,3,8,.375,0,0,,2,2,1.000,3,2,5,0,1,0,0,4,8,5.7,-13
43,17,2016-06-08,FIN,CLE,,GSW,3,W (+30),1,31:01,5,6,.833,0,0,,4,5,.800,7,6,13,2,0,0,0,2,14,18.7,+21
44,18,2016-06-10,FIN,CLE,,GSW,4,L (-11),1,28:34,5,7,.714,0,0,,0,5,.000,6,1,7,0,0,1,0,3,10,9.1,-9
45,19,2016-06-13,FIN,CLE,@,GSW,5,W (+15),1,41:32,1,3,.333,0,0,,4,10,.400,3,12,15,0,1,2,0,1,6,9.6,+11
46,20,2016-06-16,FIN,CLE,,GSW,6,W (+14),1,42:38,6,6,1.000,0,0,,3,4,.750,2,14,16,3,0,0,3,4,15,15.9,+32
47,21,2016-06-19,FIN,CLE,@,GSW,7,W (+4),1,31:49,3,3,1.000,0,0,,3,4,.750,0,3,3,0,0,2,0,4,9,8.4,+2
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,2017-04-15,EC1,CLE,,IND,1,W (+1),1,30:43,4,5,.800,0,0,,0,3,.000,6,7,13,1,0,0,1,2,8,10.1,+3
50,2,2017-04-17,EC1,CLE,,IND,2,W (+6),1,32:19,2,5,.400,0,0,,0,0,,5,5,10,1,0,2,3,1,4,5.0,-2
51,3,2017-04-20,EC1,CLE,@,IND,3,W (+5),1,27:49,4,7,.571,0,0,,1,2,.500,7,3,10,0,0,3,1,2,9,11.4,+1
52,4,2017-04-23,EC1,CLE,@,IND,4,W (+4),1,34:07,2,6,.333,0,0,,2,2,1.000,7,4,11,1,1,0,1,3,6,8.2,-1
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2017-05-01,ECS,CLE,,TOR,1,W (+11),1,38:13,3,8,.375,0,0,,5,6,.833,4,10,14,2,2,0,0,3,11,14.2,+33
