,G,2018 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,10,2021-06-16,ECS,PHI,,ATL,5,L (-3),1,38:25,2,4,.500,0,0,,4,14,.286,0,4,4,9,1,1,2,1,8,8.8,+7
42,11,2021-06-18,ECS,PHI,@,ATL,6,W (+5),1,25:27,2,6,.333,0,0,,2,4,.500,2,7,9,5,0,1,2,5,6,5.5,-7
43,12,2021-06-20,ECS,PHI,,ATL,7,L (-7),1,35:51,2,4,.500,0,0,,1,2,.500,1,7,8,13,1,0,2,4,5,11.9,+1
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,2022-04-17,,BRK,@,BOS,,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
46,,2022-04-20,,BRK,@,BOS,,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
47,,2022-04-23,,BRK,,BOS,,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
48,,2022-04-25,,BRK,,BOS,,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,2023-04-15,,BRK,@,PHI,,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
51,,2023-04-17,,BRK,@,PHI,,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
52,,2023-04-20,,BRK,,PHI,,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
53,,2023-04-22,,BRK,,PHI,,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
