,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
36,31,2021-03-03,24-226,PHI,W (+8),UTA,1,41:37,8,11,.727,0,0,,1,2,.500,2,2,4,6,1,0,5,3,17,13.1,+10
37,,2021-03-11,24-234,PHI,W (+22),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2021-03-12,24-235,PHI,W (+26),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
39,32,2021-03-14,24-237,PHI,W (+35),SAS,1,26:02,6,9,.667,0,0,,2,5,.400,1,3,4,9,1,0,3,0,14,14.8,+21
40,33,2021-03-16,24-239,PHI,W (+3),NYK,1,33:39,8,14,.571,0,0,,0,1,.000,3,10,13,7,0,0,3,3,16,14.8,+2
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,34,2021-03-17,24-240,PHI,L (-4),MIL,1,45:03,6,16,.375,1,1,1.000,0,0,,4,6,10,12,2,2,7,5,13,11.6,-7
43,,2021-03-20,24-243,PHI,W (+24),SAC,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
44,35,2021-03-21,24-244,PHI,W (+1),NYK,1,37:26,8,17,.471,0,0,,0,2,.000,2,6,8,4,1,1,7,3,16,6.0,-3
45,36,2021-03-23,24-246,PHI,W (+10),GSW,1,34:51,7,15,.467,0,0,,8,14,.571,1,7,8,4,1,0,2,4,22,14.9,+23
46,37,2021-03-25,24-248,PHI,W (+8),LAL,1,38:31,1,7,.143,0,1,.000,7,11,.636,2,5,7,12,2,1,7,5,9,7.9,+8
47,38,2021-03-27,24-250,PHI,L (-10),LAC,1,26:20,6,10,.600,0,0,,3,5,.600,1,6,7,2,1,0,6,6,15,6.1,-12
48,39,2021-03-30,24-253,PHI,L (-9),DEN,1,26:20,4,7,.571,0,0,,3,4,.750,0,2,2,3,2,0,3,3,11,7.8,-14
49,40,2021-04-01,24-255,PHI,W (+20),CLE,1,24:26,2,11,.182,0,0,,1,3,.333,4,9,13,5,1,0,2,2,5,4.5,+3
50,41,2021-04-03,24-257,PHI,W (+9),MIN,1,33:16,5,9,.556,0,0,,4,6,.667,1,7,8,6,2,0,1,2,14,16.1,+4
51,42,2021-04-04,24-258,PHI,L (-16),MEM,1,26:01,2,6,.333,0,0,,3,6,.500,1,6,7,4,1,1,1,3,7,7.2,-16
52,43,2021-04-06,24-260,PHI,W (+10),BOS,1,36:25,4,7,.571,0,0,,4,8,.500,0,4,4,6,3,0,2,2,12,12.7,+11
53,44,2021-04-09,24-263,PHI,L (-7),NOP,1,33:55,3,6,.500,0,0,,4,9,.444,0,9,9,6,5,1,6,1,10,11.2,+5
54,45,2021-04-10,24-264,PHI,W (+24),OKC,1,28:19,5,9,.556,0,0,,3,5,.600,1,2,3,3,0,0,0,0,13,11.3,+22
55,46,2021-04-12,24-266,PHI,W (+18),DAL,1,24:01,3,6,.500,0,0,,2,6,.333,2,4,6,7,1,0,1,4,8,9.3,+13
56,47,2021-04-14,24-268,PHI,W (+6),BRK,1,34:34,6,11,.545,0,1,.000,5,8,.625,1,3,4,9,3,1,1,4,17,19.5,-1
57,48,2021-04-16,24-270,PHI,W (+3),LAC,1,36:26,5,9,.556,0,0,,2,5,.400,2,7,9,6,2,2,3,4,12,13.0,+9
58,,2021-04-19,24-273,PHI,L (-11),GSW,Inactive,,,,,,,,,,,,,,,,,,,,,
59,,2021-04-21,24-275,PHI,L (-3),PHO,Inactive,,,,,,,,,,,,,,,,,,,,,
60,,2021-04-22,24-276,PHI,L (-7),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
61,,2021-04-24,24-278,PHI,L (-38),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,49,2021-04-26,24-280,PHI,W (+31),OKC,1,22:37,6,8,.750,0,0,,0,0,,0,3,3,4,3,2,2,0,12,14.9,+20
64,50,2021-04-28,24-282,PHI,W (+44),ATL,1,15:42,4,5,.800,0,0,,0,2,.000,1,3,4,6,2,0,1,4,8,10.5,+13
65,51,2021-04-30,24-284,PHI,W (+22),ATL,1,26:40,8,10,.800,0,0,,2,2,1.000,4,2,6,5,1,1,0,2,18,22.0,+9
66,52,2021-05-02,24-286,PHI,W (+2),SAS,1,34:46,2,6,.333,0,0,,1,5,.200,1,5,6,5,2,0,1,3,5,5.5,+1
67,53,2021-05-03,24-287,PHI,W (+12),CHI,1,33:26,6,7,.857,0,0,,3,5,.600,0,6,6,5,3,0,2,2,15,17.2,+29
68,54,2021-05-05,24-289,PHI,W (+20),HOU,1,24:29,5,8,.625,0,0,,0,0,,0,3,3,3,0,0,0,0,10,9.4,+14
69,55,2021-05-07,24-291,PHI,W (+2),NOP,1,33:32,4,8,.500,0,0,,0,0,,4,5,9,10,2,0,2,3,8,14.1,+13
70,,2021-05-08,24-292,PHI,W (+14),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
71,56,2021-05-11,24-295,PHI,L (-9),IND,1,36:45,9,16,.563,0,0,,2,3,.667,1,7,8,7,2,0,5,5,20,14.7,-18
72,57,2021-05-13,24-297,PHI,L (-12),MIA,1,26:08,3,6,.500,0,0,,2,2,1.000,1,0,1,6,0,0,1,4,8,7.3,-14
73,58,2021-05-14,24-298,PHI,W (+25),ORL,1,26:27,5,8,.625,0,0,,3,3,1.000,1,3,4,9,1,1,0,1,13,18.6,+25
74,,2021-05-16,24-300,PHI,W (+11),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
0,,2021-10-20,25-092,PHI,W (+20),NOP,Inactive,,,,,,,,,,,,,,,,,,,,,
1,,2021-10-22,25-094,PHI,L (-5),BRK,Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2021-10-24,25-096,PHI,W (+12),OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,,2021-10-26,25-098,PHI,L (-13),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2021-10-28,25-100,PHI,W (+8),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2021-10-30,25-102,PHI,W (+28),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2021-11-01,25-104,PHI,W (+10),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2021-11-03,25-106,PHI,W (+5),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2021-11-04,25-107,PHI,W (+11),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2021-11-06,25-109,PHI,W (+9),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2021-11-08,25-111,PHI,L (-7),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2021-11-09,25-112,PHI,L (-9),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2021-11-11,25-114,PHI,L (-6),TOR,Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2021-11-13,25-116,PHI,L (-5),IND,Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2021-11-16,25-119,PHI,L (-35),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2021-11-18,25-121,PHI,W (+14),DEN,Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2021-11-20,25-123,PHI,L (-7),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2021-11-22,25-125,PHI,W (+8),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2021-11-24,25-127,PHI,L (-20),GSW,Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2021-11-27,25-130,PHI,L (-1),MIN,Inactive,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2021-11-29,25-132,PHI,W (+5),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
